Continente;Paises;Numero de Medicos;dateRep;day;month;year;cases;deaths
Oceania;Australia;105293;26/3/2020;26;3;2020;376;3
Oceania;Australia;105293;25/3/2020;25;3;2020;600;1
Oceania;Australia;105293;24/3/2020;24;3;2020;114;0
Oceania;Australia;105293;23/3/2020;23;3;2020;611;0
Oceania;Australia;105293;22/3/2020;22;3;2020;224;0
Oceania;Australia;105293;21/3/2020;21;3;2020;165;1
Oceania;Australia;105293;20/3/2020;20;3;2020;144;0
Oceania;Australia;105293;19/3/2020;19;3;2020;111;1
Oceania;Australia;105293;18/3/2020;18;3;2020;79;0
Oceania;Australia;105293;17/3/2020;17;3;2020;77;0
Oceania;Australia;105293;16/3/2020;16;3;2020;49;2
Oceania;Australia;105293;15/3/2020;15;3;2020;52;0
Oceania;Australia;105293;14/3/2020;14;3;2020;41;0
Oceania;Australia;105293;13/3/2020;13;3;2020;30;0
Oceania;Australia;105293;12/3/2020;12;3;2020;14;0
Oceania;Australia;105293;11/3/2020;11;3;2020;12;0
Oceania;Australia;105293;10/3/2020;10;3;2020;20;0
Oceania;Australia;105293;9/3/2020;9;3;2020;6;0
Oceania;Australia;105293;8/3/2020;8;3;2020;11;1
Oceania;Australia;105293;7/3/2020;7;3;2020;4;0
Oceania;Australia;105293;6/3/2020;6;3;2020;7;0
Oceania;Australia;105293;5/3/2020;5;3;2020;11;1
Oceania;Australia;105293;4/3/2020;4;3;2020;8;0
Oceania;Australia;105293;3/3/2020;3;3;2020;4;0
Oceania;Australia;105293;2/3/2020;2;3;2020;3;0
Oceania;Australia;105293;1/3/2020;1;3;2020;1;1
Oceania;Australia;105293;29/2/2020;29;2;2020;2;0
Oceania;Australia;105293;28/2/2020;28;2;2020;0;0
Oceania;Australia;105293;27/2/2020;27;2;2020;1;0
Oceania;Australia;105293;26/2/2020;26;2;2020;0;0
Oceania;Australia;105293;25/2/2020;25;2;2020;0;0
Oceania;Australia;105293;24/2/2020;24;2;2020;0;0
Oceania;Australia;105293;23/2/2020;23;2;2020;1;0
Oceania;Australia;105293;22/2/2020;22;2;2020;4;0
Oceania;Australia;105293;21/2/2020;21;2;2020;2;0
Oceania;Australia;105293;20/2/2020;20;2;2020;0;0
Oceania;Australia;105293;19/2/2020;19;2;2020;0;0
Oceania;Australia;105293;18/2/2020;18;2;2020;0;0
Oceania;Australia;105293;17/2/2020;17;2;2020;0;0
Oceania;Australia;105293;16/2/2020;16;2;2020;0;0
Oceania;Australia;105293;15/2/2020;15;2;2020;0;0
Oceania;Australia;105293;14/2/2020;14;2;2020;1;0
Oceania;Australia;105293;13/2/2020;13;2;2020;0;0
Oceania;Australia;105293;12/2/2020;12;2;2020;0;0
Oceania;Australia;105293;11/2/2020;11;2;2020;0;0
Oceania;Australia;105293;10/2/2020;10;2;2020;0;0
Oceania;Australia;105293;9/2/2020;9;2;2020;0;0
Oceania;Australia;105293;8/2/2020;8;2;2020;0;0
Oceania;Australia;105293;7/2/2020;7;2;2020;1;0
Oceania;Australia;105293;6/2/2020;6;2;2020;1;0
Oceania;Australia;105293;5/2/2020;5;2;2020;1;0
Oceania;Australia;105293;4/2/2020;4;2;2020;0;0
Oceania;Australia;105293;3/2/2020;3;2;2020;0;0
Oceania;Australia;105293;2/2/2020;2;2;2020;2;0
Oceania;Australia;105293;1/2/2020;1;2;2020;2;0
Oceania;Australia;105293;31/1/2020;31;1;2020;1;0
Oceania;Australia;105293;30/1/2020;30;1;2020;2;0
Oceania;Australia;105293;29/1/2020;29;1;2020;0;0
Oceania;Australia;105293;28/1/2020;28;1;2020;0;0
Oceania;Australia;105293;27/1/2020;27;1;2020;0;0
Oceania;Australia;105293;26/1/2020;26;1;2020;3;0
Oceania;Australia;105293;25/1/2020;25;1;2020;1;0
Oceania;Australia;105293;24/1/2020;24;1;2020;0;0
Oceania;Australia;105293;23/1/2020;23;1;2020;0;0
Oceania;Australia;105293;22/1/2020;22;1;2020;0;0
Oceania;Australia;105293;21/1/2020;21;1;2020;0;0
Oceania;Australia;105293;20/1/2020;20;1;2020;0;0
Oceania;Australia;105293;19/1/2020;19;1;2020;0;0
Oceania;Australia;105293;18/1/2020;18;1;2020;0;0
Oceania;Australia;105293;17/1/2020;17;1;2020;0;0
Oceania;Australia;105293;16/1/2020;16;1;2020;0;0
Oceania;Australia;105293;15/1/2020;15;1;2020;0;0
Oceania;Australia;105293;14/1/2020;14;1;2020;0;0
Oceania;Australia;105293;13/1/2020;13;1;2020;0;0
Oceania;Australia;105293;12/1/2020;12;1;2020;0;0
Oceania;Australia;105293;11/1/2020;11;1;2020;0;0
Oceania;Australia;105293;10/1/2020;10;1;2020;0;0
Oceania;Australia;105293;9/1/2020;9;1;2020;0;0
Oceania;Australia;105293;8/1/2020;8;1;2020;0;0
Oceania;Australia;105293;7/1/2020;7;1;2020;0;0
Oceania;Australia;105293;6/1/2020;6;1;2020;0;0
Oceania;Australia;105293;5/1/2020;5;1;2020;0;0
Oceania;Australia;105293;4/1/2020;4;1;2020;0;0
Oceania;Australia;105293;3/1/2020;3;1;2020;0;0
Oceania;Australia;105293;2/1/2020;2;1;2020;0;0
Oceania;Australia;105293;1/1/2020;1;1;2020;0;0
Oceania;Australia;97039;31/12/2019;31;12;2019;0;0
Europe;Austria;47674;14/12/2020;14;12;2020;3005;45
Europe;Austria;47674;13/12/2020;13;12;2020;2938;96
Europe;Austria;47674;12/12/2020;12;12;2020;3026;101
Europe;Austria;47674;11/12/2020;11;12;2020;2466;125
Europe;Austria;47674;10/12/2020;10;12;2020;2913;126
Europe;Austria;47674;9/12/2020;9;12;2020;2531;80
Europe;Austria;47674;8/12/2020;8;12;2020;2181;95
Europe;Austria;47674;7/12/2020;7;12;2020;2745;58
Europe;Austria;47674;6/12/2020;6;12;2020;3160;87
Europe;Austria;47674;5/12/2020;5;12;2020;3634;140
Europe;Austria;47674;4/12/2020;4;12;2020;3783;118
Europe;Austria;47674;3/12/2020;3;12;2020;3660;133
Europe;Austria;47674;2/12/2020;2;12;2020;3464;213
Europe;Austria;47674;1/12/2020;1;12;2020;2348;79
Europe;Austria;47674;30/11/2020;30;11;2020;3907;82
Europe;Austria;47674;29/11/2020;29;11;2020;4765;58
Europe;Austria;47674;28/11/2020;28;11;2020;4818;148
Europe;Austria;47674;27/11/2020;27;11;2020;5447;114
Europe;Austria;47674;26/11/2020;26;11;2020;5896;94
Europe;Austria;47674;25/11/2020;25;11;2020;4135;115
Europe;Austria;47674;24/11/2020;24;11;2020;3090;94
Europe;Austria;47674;23/11/2020;23;11;2020;5215;44
Europe;Austria;47674;22/11/2020;22;11;2020;6239;58
Europe;Austria;47674;21/11/2020;21;11;2020;6612;79
Europe;Austria;47674;20/11/2020;20;11;2020;6830;90
Europe;Austria;47674;19/11/2020;19;11;2020;7766;113
Europe;Austria;47674;18/11/2020;18;11;2020;5664;74
Europe;Austria;47674;17/11/2020;17;11;2020;4304;62
Europe;Austria;47674;16/11/2020;16;11;2020;5278;50
Europe;Austria;47674;15/11/2020;15;11;2020;7192;55
Europe;Austria;47674;14/11/2020;14;11;2020;8962;64
Europe;Austria;47674;13/11/2020;13;11;2020;10368;37
Europe;Austria;47674;12/11/2020;12;11;2020;9643;55
Europe;Austria;47674;11/11/2020;11;11;2020;3839;35
Europe;Austria;47674;10/11/2020;10;11;2020;5704;48
Europe;Austria;47674;9/11/2020;9;11;2020;6006;17
Europe;Austria;47674;8/11/2020;8;11;2020;7898;23
Europe;Austria;47674;7/11/2020;7;11;2020;6324;44
Europe;Austria;47674;6/11/2020;6;11;2020;7051;47
Europe;Austria;47674;5/11/2020;5;11;2020;6514;35
Europe;Austria;47674;4/11/2020;4;11;2020;4445;34
Europe;Austria;47674;3/11/2020;3;11;2020;3160;21
Europe;Austria;47674;2/11/2020;2;11;2020;4526;17
Europe;Austria;47674;1/11/2020;1;11;2020;5141;18
Europe;Austria;47674;31/10/2020;31;10;2020;5243;15
Europe;Austria;47674;30/10/2020;30;10;2020;4305;24
Europe;Austria;47674;29/10/2020;29;10;2020;4149;34
Europe;Austria;47674;28/10/2020;28;10;2020;2698;18
Europe;Austria;47674;27/10/2020;27;10;2020;2512;4
Europe;Austria;47674;26/10/2020;26;10;2020;2766;6
Europe;Austria;47674;25/10/2020;25;10;2020;2989;6
Europe;Austria;47674;24/10/2020;24;10;2020;3442;15
Europe;Austria;47674;23/10/2020;23;10;2020;2570;17
Europe;Austria;47674;22/10/2020;22;10;2020;2355;13
Europe;Austria;47674;21/10/2020;21;10;2020;1803;8
Europe;Austria;47674;20/10/2020;20;10;2020;1054;9
Europe;Austria;47674;19/10/2020;19;10;2020;1062;3
Europe;Austria;47674;18/10/2020;18;10;2020;2040;6
Europe;Austria;47674;17/10/2020;17;10;2020;1691;7
Europe;Austria;47674;16/10/2020;16;10;2020;1396;6
Europe;Austria;47674;15/10/2020;15;10;2020;1606;9
Europe;Austria;47674;14/10/2020;14;10;2020;1171;10
Europe;Austria;47674;13/10/2020;13;10;2020;608;5
Europe;Austria;47674;12/10/2020;12;10;2020;1298;6
Europe;Austria;47674;11/10/2020;11;10;2020;901;1
Europe;Austria;47674;10/10/2020;10;10;2020;1181;4
Europe;Austria;47674;9/10/2020;9;10;2020;1221;9
Europe;Austria;47674;8/10/2020;8;10;2020;947;4
Europe;Austria;47674;7/10/2020;7;10;2020;549;22
Europe;Austria;47674;6/10/2020;6;10;2020;1268;5
Europe;Austria;47674;5/10/2020;5;10;2020;599;4
Europe;Austria;47674;4/10/2020;4;10;2020;830;6
Europe;Austria;47674;3/10/2020;3;10;2020;872;1
Europe;Austria;47674;2/10/2020;2;10;2020;564;3
Europe;Austria;47674;1/10/2020;1;10;2020;1146;3
Europe;Austria;47674;30/9/2020;30;9;2020;722;6
Europe;Austria;47674;29/9/2020;29;9;2020;419;3
Europe;Austria;47674;28/9/2020;28;9;2020;526;0
Europe;Austria;47674;27/9/2020;27;9;2020;623;1
Europe;Austria;47674;26/9/2020;26;9;2020;1071;3
Europe;Austria;47674;25/9/2020;25;9;2020;688;6
Europe;Austria;47674;24/9/2020;24;9;2020;661;6
Europe;Austria;47674;23/9/2020;23;9;2020;747;4
Europe;Austria;47674;22/9/2020;22;9;2020;593;1
Europe;Austria;47674;21/9/2020;21;9;2020;609;1
Asia;Afghanistan;9880;14/12/2020;14;12;2020;746;6
Asia;Afghanistan;9880;13/12/2020;13;12;2020;298;9
Asia;Afghanistan;9880;12/12/2020;12;12;2020;113;11
Asia;Afghanistan;9880;11/12/2020;11;12;2020;63;10
Asia;Afghanistan;9880;10/12/2020;10;12;2020;202;16
Asia;Afghanistan;9880;9/12/2020;9;12;2020;135;13
Asia;Afghanistan;9880;8/12/2020;8;12;2020;200;6
Asia;Afghanistan;9880;7/12/2020;7;12;2020;210;26
Asia;Afghanistan;9880;6/12/2020;6;12;2020;234;10
Asia;Afghanistan;9880;5/12/2020;5;12;2020;235;18
Asia;Afghanistan;9880;4/12/2020;4;12;2020;119;5
Asia;Afghanistan;9880;3/12/2020;3;12;2020;202;19
Asia;Afghanistan;9880;2/12/2020;2;12;2020;400;48
Asia;Afghanistan;9880;1/12/2020;1;12;2020;272;11
Asia;Afghanistan;9880;30/11/2020;30;11;2020;0;0
Asia;Afghanistan;9880;29/11/2020;29;11;2020;228;11
Asia;Afghanistan;9880;28/11/2020;28;11;2020;214;15
Asia;Afghanistan;9880;27/11/2020;27;11;2020;0;0
Asia;Afghanistan;9880;26/11/2020;26;11;2020;200;12
Asia;Afghanistan;9880;25/11/2020;25;11;2020;185;13
Asia;Afghanistan;9880;24/11/2020;24;11;2020;246;17
Asia;Afghanistan;9880;23/11/2020;23;11;2020;252;8
Asia;Afghanistan;9880;22/11/2020;22;11;2020;154;12
Asia;Afghanistan;9880;21/11/2020;21;11;2020;232;25
Asia;Afghanistan;9880;20/11/2020;20;11;2020;282;5
Asia;Afghanistan;9880;19/11/2020;19;11;2020;0;0
Asia;Afghanistan;9880;18/11/2020;18;11;2020;383;13
Asia;Afghanistan;9880;17/11/2020;17;11;2020;65;6
Asia;Afghanistan;9880;16/11/2020;16;11;2020;163;9
Asia;Afghanistan;9880;15/11/2020;15;11;2020;205;12
Asia;Afghanistan;9880;14/11/2020;14;11;2020;66;10
Asia;Afghanistan;9880;13/11/2020;13;11;2020;360;14
Asia;Afghanistan;9880;12/11/2020;12;11;2020;146;4
Asia;Afghanistan;9880;11/11/2020;11;11;2020;0;0
Asia;Afghanistan;9880;10/11/2020;10;11;2020;224;12
Asia;Afghanistan;9880;9/11/2020;9;11;2020;80;3
Asia;Afghanistan;9880;8/11/2020;8;11;2020;126;6
Asia;Afghanistan;9880;7/11/2020;7;11;2020;58;2
Asia;Afghanistan;9880;6/11/2020;6;11;2020;40;0
Asia;Afghanistan;9880;5/11/2020;5;11;2020;121;6
Asia;Afghanistan;9880;4/11/2020;4;11;2020;86;4
Asia;Afghanistan;9880;3/11/2020;3;11;2020;95;3
Asia;Afghanistan;9880;2/11/2020;2;11;2020;132;5
Asia;Afghanistan;9880;1/11/2020;1;11;2020;76;0
Asia;Afghanistan;9880;31/10/2020;31;10;2020;157;4
Asia;Afghanistan;9880;30/10/2020;30;10;2020;123;3
Asia;Afghanistan;9880;29/10/2020;29;10;2020;0;0
Asia;Afghanistan;9880;28/10/2020;28;10;2020;113;7
Asia;Afghanistan;9880;27/10/2020;27;10;2020;199;8
Asia;Afghanistan;9880;26/10/2020;26;10;2020;65;3
Asia;Afghanistan;9880;25/10/2020;25;10;2020;81;4
Asia;Afghanistan;9880;24/10/2020;24;10;2020;61;2
Asia;Afghanistan;9880;23/10/2020;23;10;2020;116;4
Asia;Afghanistan;9880;22/10/2020;22;10;2020;135;2
Asia;Afghanistan;9880;21/10/2020;21;10;2020;88;2
Asia;Afghanistan;9880;20/10/2020;20;10;2020;87;5
Asia;Afghanistan;9880;19/10/2020;19;10;2020;59;4
Asia;Afghanistan;9880;18/10/2020;18;10;2020;68;3
Asia;Afghanistan;9880;17/10/2020;17;10;2020;47;4
Asia;Afghanistan;9880;16/10/2020;16;10;2020;0;0
Asia;Afghanistan;9880;15/10/2020;15;10;2020;32;1
Asia;Afghanistan;9880;14/10/2020;14;10;2020;66;0
Asia;Afghanistan;9880;13/10/2020;13;10;2020;129;3
Asia;Afghanistan;9880;12/10/2020;12;10;2020;96;4
Asia;Afghanistan;9880;11/10/2020;11;10;2020;0;0
Asia;Afghanistan;9880;10/10/2020;10;10;2020;10;1
Asia;Afghanistan;9880;9/10/2020;9;10;2020;77;2
Asia;Afghanistan;9880;8/10/2020;8;10;2020;68;1
Asia;Afghanistan;9880;7/10/2020;7;10;2020;62;2
Asia;Afghanistan;9880;6/10/2020;6;10;2020;145;5
Asia;Afghanistan;9880;5/10/2020;5;10;2020;44;0
Asia;Afghanistan;9880;4/10/2020;4;10;2020;7;4
Asia;Afghanistan;9880;3/10/2020;3;10;2020;5;0
Asia;Afghanistan;9880;2/10/2020;2;10;2020;17;0
Asia;Afghanistan;9880;1/10/2020;1;10;2020;14;0
Asia;Afghanistan;9880;30/9/2020;30;9;2020;15;2
